IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi1g45960.1|pacid:21817158	-1.57905119	4.761959161	0.488077573	-3.235246359	0.001215378	0.004518854	"GO:0016787,GO:0008152"	carboxyesterase 13	"CXE carboxylesterase, putative, expressed"
bradi1g45970.1|pacid:21822668	1.367950136	1.658552307	0.524692282	2.607147434	0.009130004	0.026045741			expressed protein
bradi1g45985.1|pacid:21815732	-1.85037338	4.063499055	0.502976046	-3.678849908	0.000234288	0.001051115	"GO:0004861,GO:0007050,GO:0005634"	inhibitor/interactor with cyclin-dependent kinase	"cyclin-dependent kinase inhibitor, putative, expressed"
bradi1g46060.1|pacid:21821251	1.454152534	4.593324577	0.471842075	3.081862789	0.002057096	0.00719113	"GO:0003700,GO:0043565,GO:0046983,GO:0006355"	abscisic acid responsive elements-binding factor 3	"bZIP transcription factor, putative, expressed"
bradi1g46150.1|pacid:21817900	-2.56302322	53.34629032	0.309544981	-8.279970207	1.23E-16	2.70E-15	GO:0016020	nodulin MtN21 /EamA-like transporter family protein	"integral membrane protein DUF6 containing protein, expressed"
bradi1g46387.1|pacid:21818254	1.027501419	49.78908781	0.230625649	4.455278169	8.38E-06	5.15E-05	"GO:0055085,GO:0016020"	mechanosensitive channel of small conductance-like 10	"uncharacterized mscS family protein, putative, expressed"
bradi1g46510.1|pacid:21819061	1.443663714	2.27171537	0.518936209	2.781967589	0.005403044	0.016655323			
bradi1g46740.1|pacid:21819567	-1.252501679	117.1310301	0.16509562	-7.586522749	3.29E-14	5.89E-13	GO:0016791	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	expressed protein
bradi1g46890.1|pacid:21817906	1.372462232	1.543925443	0.521042338	2.634070462	0.008436798	0.024344995			
bradi1g47040.2|pacid:21819107	1.743165893	4.84720996	0.441792598	3.945665685	7.96E-05	0.000401253	"GO:0008168,GO:0001510,GO:0009452"	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	"RNA cap guanine-N2 methyltransferase domain containing protein, expressed"
bradi1g47160.1|pacid:21823412	2.387615361	3.033085554	0.513485139	4.649823685	3.32E-06	2.20E-05		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g47170.1|pacid:21821571	1.501742569	4.223207233	0.520928728	2.882817725	0.003941354	0.012659469		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g47180.1|pacid:21823349	-1.096763666	48.5520262	0.24952997	-4.395318383	1.11E-05	6.64E-05	GO:0016747	hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase	"transferase family protein, putative, expressed"
bradi1g47350.1|pacid:21820019	1.993053666	13.66368412	0.340313837	5.85651668	4.73E-09	4.87E-08	"GO:0030528,GO:0006355"	LJRHL1-like 1	"BHLH transcription factor, putative, expressed"
bradi1g47360.1|pacid:21823251	-1.520670397	397.8411257	0.123807776	-12.28251126	1.12E-34	6.71E-33			"X0001, putative, expressed"
bradi1g47562.2|pacid:21823269	1.285547546	9.697175444	0.332923251	3.86139311	0.000112742	0.000548788	GO:0003677	TRF-like 5	"MYB family transcription factor, putative, expressed"
bradi1g47767.1|pacid:21821376	-1.941866081	1363.792865	0.088719938	-21.88759502	3.41E-106	1.28E-103	"GO:0004427,GO:0009678,GO:0015992,GO:0016020"	Inorganic H pyrophosphatase family protein	"inorganic H+ pyrophosphatase, putative, expressed"
bradi1g47800.1|pacid:21817118	1.323216044	0.826797226	0.508398398	2.602714816	0.009248885	0.02634445	"GO:0016491,GO:0016706,GO:0055114"	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	"flavonol synthase/flavanone 3-hydroxylase, putative, expressed"
bradi1g48380.1|pacid:21820079	1.695494325	1.322738752	0.521491226	3.251242286	0.001149019	0.004304423	"GO:0004672,GO:0005524,GO:0006468,GO:0048544,GO:0005529"	S-locus lectin protein kinase family protein	"receptor-like protein kinase, putative, expressed"
bradi1g48410.1|pacid:21822723	-1.046871574	281.8428088	0.109475472	-9.562613023	1.15E-21	3.56E-20	GO:0016787	type one serine/threonine protein phosphatase 3	"Ser/Thr protein phosphatase family protein, putative, expressed"
bradi1g48510.1|pacid:21816031	1.143361252	24.06381141	0.420645965	2.718108209	0.006565636	0.019646358	"GO:0004672,GO:0005524,GO:0006468,GO:0005515,GO:0004842,GO:0016567,GO:0000151"	U-box domain-containing protein kinase family protein	"protein kinase, putative, expressed"
bradi1g48697.2|pacid:21820244	-1.998290992	1380.436122	0.151804593	-13.16357397	1.42E-39	1.01E-37	"GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021"	multidrug resistance-associated protein 14	"ABC transporter, ATP-binding protein, putative, expressed"
bradi1g48850.1|pacid:21822979	1.012171131	21.82609552	0.255631548	3.959492234	7.51E-05	0.000380363		phosphorylethanolamine cytidylyltransferase 1	"cytidylyltransferase domain containing protein, expressed"
bradi1g49060.1|pacid:21822926	-1.736944682	2.543701333	0.522129878	-3.326652533	0.000878959	0.003407363	GO:0016747	HXXXD-type acyl-transferase family protein	"transferase family protein, putative, expressed"
bradi1g49170.1|pacid:21816751	-2.27525487	2.374203376	0.524503342	-4.33792254	1.44E-05	8.45E-05			
bradi1g49250.1|pacid:21821028	-1.070239346	4.777098594	0.443516354	-2.413077527	0.015818454	0.041599786			expressed protein
bradi1g49350.1|pacid:21818671	-2.591692628	8.802571307	0.439900552	-5.891542111	3.83E-09	3.99E-08	GO:0016747	HXXXD-type acyl-transferase family protein	"transferase family domain containing protein, expressed"
bradi1g49420.1|pacid:21823501	-1.574154469	4.513007602	0.4802915	-3.277498081	0.001047314	0.00397298	"GO:0006508,GO:0004190"	Eukaryotic aspartyl protease family protein	"aspartic protease, putative, expressed"
bradi1g49477.1|pacid:21820297	1.115510553	14.26246138	0.39065756	2.855469	0.004297332	0.013634931		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g49490.1|pacid:21821813	1.189528025	55.11648401	0.212813939	5.589521195	2.28E-08	2.13E-07		RING/U-box superfamily protein	"zinc RING finger protein, putative, expressed"
bradi1g49560.2|pacid:21816342	-2.519420052	4.105166182	0.506363243	-4.975519231	6.51E-07	4.85E-06	"GO:0003700,GO:0006355"	dehydration response element B1A	"dehydration-responsive element-binding protein, putative, expressed"
bradi1g49570.1|pacid:21820597	-1.734583459	3.763899265	0.524547815	-3.306816668	0.000943626	0.003627544	"GO:0003700,GO:0006355"	dehydration response element B1A	"dehydration-responsive element-binding protein, putative, expressed"
bradi1g49720.1|pacid:21818632	1.390872769	15.2292836	0.29753788	4.674607375	2.95E-06	1.97E-05	"GO:0016491,GO:0008152,GO:0003824,GO:0050662,GO:0044237"	NAD(P)-binding Rossmann-fold superfamily protein	"retinol dehydrogenase, putative, expressed"
bradi1g49990.1|pacid:21823696	-1.498484199	437.0312483	0.193360884	-7.749675965	9.21E-15	1.74E-13	"GO:0003677,GO:0006334,GO:0000786"	Histone superfamily protein	"histone H3, putative, expressed"
bradi1g50057.1|pacid:21816185	-1.947145136	41.61822902	0.237558641	-8.196482029	2.48E-16	5.32E-15	"GO:0003677,GO:0006355"	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	"no apical meristem protein, putative, expressed"
bradi1g50067.1|pacid:21815604	-1.698727776	344.1559637	0.160921061	-10.55627999	4.75E-26	1.86E-24	"GO:0003824,GO:0008792,GO:0008295,GO:0006527"	arginine decarboxylase 2	"pyridoxal-dependent decarboxylase protein, putative, expressed"
bradi1g50080.1|pacid:21815144	-1.94814979	6.490850747	0.413165299	-4.7151825	2.41E-06	1.63E-05	"GO:0004553,GO:0005975"	Glycosyl hydrolase superfamily protein	"glycosyl hydrolases family 17, putative, expressed"
bradi1g50110.1|pacid:21819530	1.393242184	17.90823575	0.348691366	3.995631445	6.45E-05	0.000331405			expressed protein
bradi1g50280.1|pacid:21822086	3.330176204	135.1145082	0.242271719	13.74562501	5.41E-43	4.21E-41			expressed protein
bradi1g50426.1|pacid:21821053	1.49395312	23.20477817	0.240167367	6.220466735	4.96E-10	5.84E-09			"OsFBX182 - F-box domain containing protein, expressed"
bradi1g50440.1|pacid:21817311	-1.417082655	4.728563237	0.426978472	-3.318862065	0.000903851	0.003487488			expressed protein
bradi1g50520.1|pacid:21818894	1.67041058	78.59349008	0.199594869	8.369005615	5.81E-17	1.31E-15			expressed protein
bradi1g50530.1|pacid:21822050	-1.186695161	1693.579089	0.07748529	-15.31510258	6.06E-53	6.64E-51	"GO:0005524,GO:0016301,GO:0016310,GO:2001070,GO:0005975,GO:0003824"	"catalytics;carbohydrate kinases;phosphoglucan, water dikinases"	"phosphoglucan, water dikinase, chloroplast precursor, putative, expressed"
bradi1g50540.2|pacid:21817705	-1.072401697	410.1158356	0.073343416	-14.62164916	2.04E-48	1.95E-46	GO:0000062	acyl-CoA-binding protein 6	"acyl CoA binding protein, putative, expressed"
bradi1g50610.1|pacid:21817031	-1.029178542	51.68018123	0.175636439	-5.859709699	4.64E-09	4.78E-08	"GO:0016020,GO:0005515"	syntaxin of plants 43	"syntaxin, putative, expressed"
bradi1g50760.1|pacid:21819773	-1.279943522	2.297407609	0.505960971	-2.529727775	0.011415105	0.031622474	"GO:0006508,GO:0004190"	Eukaryotic aspartyl protease family protein	"aspartic protease, putative, expressed"
bradi1g50780.1|pacid:21815351	1.196379235	13.57695602	0.372718854	3.209870451	0.001327948	0.004882445			"pollen-specific protein, putative, expressed"
bradi1g50990.1|pacid:21815243	1.081773949	30.78398156	0.240163726	4.504318639	6.66E-06	4.16E-05	GO:0003676	nucleotide binding;nucleic acid binding	"RNA recognition motif containing protein, putative, expressed"
bradi1g51160.1|pacid:21822393	1.263647797	16.9918056	0.307026956	4.115755221	3.86E-05	0.000208198		cadmium tolerance 1	expressed protein
bradi1g51170.1|pacid:21818857	-1.092211112	182.5245281	0.133459126	-8.183862287	2.75E-16	5.90E-15	"GO:0016790,GO:0006633"	fatty acyl-ACP thioesterases B	"myristoyl-acyl carrier protein thioesterase, chloroplast precursor, putative, expressed"
bradi1g51177.1|pacid:21821050	1.168811969	4.910501549	0.47217654	2.475370692	0.013309795	0.036015248		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g51340.1|pacid:21814832	1.254029494	11.1754556	0.401482559	3.123496814	0.001787158	0.00634598			"coiled-coil domain-containing protein 97, putative, expressed"
bradi1g51350.1|pacid:21818569	1.318430758	2.124012073	0.51735355	2.548413474	0.010821413	0.030231321		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	expressed protein
bradi1g51400.1|pacid:21820934	1.978038456	5.429546245	0.449843181	4.397173374	1.10E-05	6.59E-05		Pentatricopeptide repeat (PPR) superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g51780.1|pacid:21818482	1.946388418	72.25008263	0.184142539	10.57000969	4.10E-26	1.61E-24	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	ent-kaurenoic acid hydroxylase 2	"cytochrome P450, putative, expressed"
bradi1g51870.1|pacid:21819073	1.042260149	7.797700267	0.390674975	2.667844667	0.007633954	0.02237064		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g51910.1|pacid:21821871	1.205074285	65.26726584	0.170606152	7.063486686	1.62E-12	2.47E-11	GO:0016020	nodulin MtN21 /EamA-like transporter family protein	"auxin-induced protein 5NG4, putative, expressed"
bradi1g52030.1|pacid:21821893	-1.172512667	6.757964656	0.502454384	-2.333570378	0.019618229	0.049978315	GO:0016020	nodulin MtN21 /EamA-like transporter family protein	"nodulin, putative, expressed"
bradi1g52120.1|pacid:21817492	1.129516783	98.30893777	0.138129706	8.177218454	2.90E-16	6.22E-15			
bradi1g52280.1|pacid:21821549	1.250110655	773.8222494	0.227157236	5.503283434	3.73E-08	3.37E-07	GO:0003676	MEI2-like protein 5	"AML1, putative, expressed"
bradi1g52350.1|pacid:21823318	1.38120693	17.78430628	0.27440557	5.03345077	4.82E-07	3.67E-06	GO:0016747	HXXXD-type acyl-transferase family protein	"transferase family protein, putative, expressed"
bradi1g52360.1|pacid:21823050	1.145775656	47.42287005	0.205776496	5.568058914	2.58E-08	2.39E-07	GO:0005515	B-box type zinc finger protein with CCT domain	"CCT/B-box zinc finger protein, putative, expressed"
bradi1g52430.1|pacid:21822207	-1.767504321	2.793251468	0.516912124	-3.419351644	0.000627706	0.002536545		ATP binding microtubule motor family protein	"kinesin motor domain containing protein, putative, expressed"
bradi1g52610.1|pacid:21815838	-1.297411187	26.33506468	0.244892737	-5.297875319	1.17E-07	9.84E-07			"regulatory protein, putative, expressed"
bradi1g52620.1|pacid:21818117	1.335397721	8.97276522	0.446489007	2.990886003	0.002781693	0.009334		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide domain containing protein, putative, expressed"
bradi1g52740.2|pacid:21815339	1.122564171	3.811152484	0.475398377	2.361312585	0.018210374	0.046864168	"GO:0009055,GO:0051536,GO:0016491,GO:0055114,GO:0046872"	aldehyde oxidase 2	"aldehyde oxidase, putative, expressed"
bradi1g52750.1|pacid:21816434	-1.081854326	136.6049949	0.1295725	-8.349413106	6.86E-17	1.54E-15		B12D protein	"B12D protein, putative, expressed"
bradi1g53020.1|pacid:21822718	-1.422027782	3.858470503	0.496235991	-2.865628065	0.004161829	0.013268717		guanosine nucleotide diphosphate dissociation inhibitor 1	"rab GDP dissociation inhibitor alpha, putative, expressed"
bradi1g53027.1|pacid:21816941	1.189362156	13.07758477	0.293642571	4.05037373	5.11E-05	0.00026885			expressed protein
bradi1g53437.1|pacid:21819272	-1.309364069	294.1581315	0.203878695	-6.422270216	1.34E-10	1.70E-09	"GO:0008270,GO:0016787"	Cytidine/deoxycytidylate deaminase family protein	"tRNA-specific adenosine deaminase, putative, expressed"
bradi1g53510.1|pacid:21819422	-1.097421596	19.10903203	0.359911961	-3.049139002	0.002294983	0.007902858			expressed protein
bradi1g53515.1|pacid:21816219	-1.097421596	19.10903203	0.359911961	-3.049139002	0.002294983	0.007902858			expressed protein
bradi1g53527.1|pacid:21822096	-1.268812056	5.759528761	0.433572761	-2.926410905	0.003428977	0.011196766	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"cytokinin-N-glucosyltransferase, putative, expressed"
bradi1g53540.1|pacid:21823481	-1.345367918	18.78630248	0.266361581	-5.05090829	4.40E-07	3.37E-06	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g53560.1|pacid:21819080	1.396825708	162.5434486	0.194302422	7.188925881	6.53E-13	1.04E-11	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"cytokinin-N-glucosyltransferase 1, putative, expressed"
bradi1g53567.1|pacid:21823447	1.458886336	4.449554247	0.477697873	3.053993785	0.002258168	0.00779776		maternal effect embryo arrest 60	expressed protein
bradi1g53580.1|pacid:21819212	-1.1202132	255.3079993	0.129868032	-8.625781005	6.37E-18	1.53E-16		reticulata-related 1	expressed protein
bradi1g53600.1|pacid:21819966	1.713718071	10.64795558	0.402325021	4.259536402	2.05E-05	0.000117182		pentatricopeptide (PPR) repeat-containing protein	"pentatricopeptide repeat domain containing protein, putative, expressed"
bradi1g53680.1|pacid:21817178	-1.618817207	14.43300132	0.302925392	-5.343946896	9.09E-08	7.78E-07	"GO:0046873,GO:0030001,GO:0055085,GO:0016020"	zinc transporter 1 precursor	"metal cation transporter, putative, expressed"
bradi1g53850.1|pacid:21822043	-2.327055357	4.632382737	0.501527537	-4.639935367	3.49E-06	2.30E-05		HSP20-like chaperones superfamily protein	"hsp20/alpha crystallin family protein, putative, expressed"
bradi1g53947.1|pacid:21820724	1.60059853	8.337705093	0.38880511	4.11671166	3.84E-05	0.000207506	"GO:0004672,GO:0005524,GO:0006468,GO:0005488"	Concanavalin A-like lectin protein kinase family protein	"protein kinase domain containing protein, expressed"
bradi1g54020.1|pacid:21822679	1.053189751	4.565826657	0.445828717	2.362319231	0.018160996	0.046785691	GO:0016787	nudix hydrolase homolog 16	"hydrolase, NUDIX family, domain containing protein, expressed"
bradi1g54037.1|pacid:21823223	-1.498480084	329.3463803	0.128652242	-11.64752404	2.36E-31	1.21E-29			"DUF630/DUF632 domains containing protein, putative, expressed"
bradi1g54100.1|pacid:21820034	-1.413633609	8.896178467	0.363183951	-3.892335009	9.93E-05	0.000490139			
bradi1g54560.1|pacid:21823264	-1.892089475	5.861909561	0.502604895	-3.764566346	0.000166838	0.000774813		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	"LTPL84 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
bradi1g54650.1|pacid:21815613	-1.733682361	21.88282046	0.28923471	-5.994032873	2.05E-09	2.22E-08	"GO:0005529,GO:0008378,GO:0006486,GO:0016020,GO:0016757"	Galactosyltransferase family protein	"galactosyltransferase family protein, putative, expressed"
bradi1g54690.1|pacid:21816579	1.134537439	7.930003348	0.398829464	2.844668061	0.004445773	0.014047451	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"bHLH transcription factor, putative, expressed"
bradi1g54950.1|pacid:21820507	1.019147494	279.2340891	0.110292687	9.240390454	2.46E-20	6.97E-19	GO:0016020	Exostosin family protein	"exostosin family protein, putative, expressed"
bradi1g54990.1|pacid:21815108	-1.018863069	114.7614474	0.205461439	-4.958901638	7.09E-07	5.26E-06		Major facilitator superfamily protein	"nodulin, putative, expressed"
bradi1g55110.1|pacid:21819034	-2.345613005	999.7686298	0.122395747	-19.16417083	7.37E-82	1.62E-79	"GO:0045454,GO:0016209,GO:0016491,GO:0055114,GO:0015035,GO:0009055,GO:0006662"	Thioredoxin superfamily protein	"thioredoxin, putative, expressed"
bradi1g55260.1|pacid:21815111	-1.10858455	135.8158606	0.231111703	-4.796747788	1.61E-06	1.12E-05	"GO:0003677,GO:0006334,GO:0000786,GO:0005634"	winged-helix DNA-binding transcription factor family protein	"AT hook-containing DNA-binding protein, putative, expressed"
bradi1g55370.1|pacid:21814996	-1.182508	397.2480442	0.154177504	-7.669783024	1.72E-14	3.17E-13	"GO:0006355,GO:0005634"	AUX/IAA transcriptional regulator family protein	"OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
bradi1g55427.1|pacid:21823140	1.090120645	63.24804346	0.15842045	6.88118641	5.94E-12	8.59E-11	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"BHLH transcription factor, putative, expressed"
bradi1g55450.1|pacid:21822216	-1.311190132	0.992586522	0.497862212	-2.633640595	0.008447485	0.024372286	"GO:0003700,GO:0043565,GO:0046983,GO:0006355"	basic leucine zipper 25	"bZIP transcription factor domain containing protein, expressed"
bradi1g55470.1|pacid:21821886	-1.376954644	2.394642803	0.523743015	-2.629065409	0.008561989	0.024677503	"GO:0003924,GO:0005525"	Guanylate-binding family protein	"GTP binding protein, putative, expressed"
bradi1g55480.1|pacid:21817010	1.269983197	8.636417603	0.426506802	2.977638785	0.002904781	0.009699404		Protein of unknown function (DUF506) 	"plant-specific domain TIGR01615 family protein, expressed"
bradi1g55560.1|pacid:21821754	1.462962776	198.6704071	0.136175057	10.74325067	6.38E-27	2.59E-25		Chlorophyll A-B binding family protein	"early light-induced protein, chloroplast precursor, putative, expressed"
bradi1g55570.1|pacid:21817129	2.332212715	16.98321402	0.337654274	6.907102604	4.95E-12	7.22E-11		Chlorophyll A-B binding family protein	"early light-induced protein, chloroplast precursor, putative, expressed"
bradi1g55600.1|pacid:21820743	1.447856387	4.247289718	0.506913966	2.856217197	0.004287217	0.013607196		Chlorophyll A-B binding family protein	"early light-induced protein, chloroplast precursor, putative, expressed"
bradi1g55620.1|pacid:21815304	1.729590308	209.4584306	0.126897112	13.62986349	2.66E-42	2.04E-40		Chlorophyll A-B binding family protein	"early light-induced protein, chloroplast precursor, putative, expressed"
bradi1g55720.1|pacid:21820275	-1.049485013	179.4737639	0.208928652	-5.023174194	5.08E-07	3.85E-06	GO:0005515	Leucine-rich repeat (LRR) family protein	"uncharacterized protein At4g06744 precursor, putative, expressed"
bradi1g55730.1|pacid:21822803	1.61163804	8.363762868	0.44480215	3.62326945	0.000290903	0.001275377	"GO:0004672,GO:0005524,GO:0006468"	NIMA-related kinase 2	expressed protein
bradi1g55870.1|pacid:21822467	1.49582171	4.898327684	0.472328503	3.166909681	0.001540682	0.005578198			expressed protein
bradi1g56050.1|pacid:21821469	2.439072948	3.92403619	0.499196984	4.88599296	1.03E-06	7.41E-06			
bradi1g56540.3|pacid:21822236	-1.608601657	111.44468	0.222841563	-7.218589014	5.25E-13	8.41E-12	"GO:0004672,GO:0005524,GO:0006468"	Leucine-rich repeat protein kinase family protein	"protein kinase, putative, expressed"
bradi1g56625.1|pacid:21818415	1.402798839	0.858841637	0.513484156	2.731922345	0.006296598	0.018967305			"OsFBX101 - F-box domain containing protein, expressed"
bradi1g56667.1|pacid:21821903	-1.084848482	1662.932134	0.117357673	-9.243950175	2.38E-20	6.76E-19	"GO:0009055,GO:0051536,GO:0016491,GO:0055114,GO:0046872"	aldehyde oxidase 4	"aldehyde oxidase, putative, expressed"
bradi1g56680.1|pacid:21820912	-1.676314533	1265.755468	0.135455229	-12.375414	3.55E-35	2.15E-33			"erythrocyte binding protein 3, putative, expressed"
bradi1g56790.1|pacid:21822498	-1.990982985	10.57595909	0.367711425	-5.414525767	6.15E-08	5.37E-07	"GO:0016491,GO:0008152"	NAD(P)-binding Rossmann-fold superfamily protein	"versicolorin reductase, putative, expressed"
bradi1g56817.1|pacid:21822651	-1.284504644	16.35583486	0.324885047	-3.953720414	7.69E-05	0.000389065	"GO:0016787,GO:0008152"	alpha/beta-Hydrolases superfamily protein	"gibberellin receptor GID1L2, putative, expressed"
bradi1g56860.1|pacid:21816732	1.903375454	217.1850037	0.133714479	14.23462492	5.59E-46	4.81E-44	"GO:0016787,GO:0008152"	alpha/beta-Hydrolases superfamily protein	"gibberellin receptor GID1L2, putative, expressed"
bradi1g56870.1|pacid:21817570	3.144905526	13.0342726	0.403357361	7.796821945	6.35E-15	1.21E-13	"GO:0016787,GO:0008152"	alpha/beta-Hydrolases superfamily protein	"gibberellin receptor GID1L2, putative, expressed"
bradi1g56910.1|pacid:21815706	1.360889261	17.10772485	0.323890781	4.201691875	2.65E-05	0.000147794	"GO:0016787,GO:0008152"	alpha/beta-Hydrolases superfamily protein	"gibberellin receptor GID1L2, putative, expressed"
bradi1g57040.1|pacid:21820899	-1.320257944	46.4625937	0.266946266	-4.945781642	7.58E-07	5.58E-06		FASCICLIN-like arabinogalactan protein 16 precursor	"fasciclin domain containing protein, expressed"
bradi1g57147.1|pacid:21822510	1.205502503	616.2264592	0.160413226	7.514981965	5.69E-14	9.99E-13	"GO:0008375,GO:0016020"	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"DNA binding protein, putative, expressed"
bradi1g57390.1|pacid:21815639	1.441222111	5.397250565	0.445002987	3.238679634	0.001200844	0.004475728			expressed protein
bradi1g57457.1|pacid:21817198	1.186529934	65.09596746	0.160898719	7.374390194	1.65E-13	2.77E-12			"H-BTB5 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
bradi1g57546.1|pacid:21818102	1.016893374	29.84980813	0.254487738	3.995844296	6.45E-05	0.000331193	GO:0031072	Chaperone DnaJ-domain superfamily protein	"heat shock protein DnaJ, putative, expressed"
bradi1g57657.1|pacid:21822987	-1.230820365	5.116053172	0.467594972	-2.632236101	0.008482489	0.024459037	"GO:0004672,GO:0005524,GO:0006468,GO:0005488"	Concanavalin A-like lectin protein kinase family protein	"lectin-like receptor kinase, putative, expressed"
bradi1g57920.1|pacid:21820410	1.130450636	248.0452248	0.127205065	8.886836689	6.29E-19	1.65E-17		Mitochondrial transcription termination factor family protein	"mTERF domain containing protein, expressed"
bradi1g58190.2|pacid:21821451	-1.672836991	317.5618476	0.130386401	-12.82984254	1.12E-37	7.45E-36	GO:0005783	Reticulon family protein	"reticulon domain containing protein, putative, expressed"
bradi1g58230.2|pacid:21817596	1.535240237	493.8464374	0.17417962	8.814120947	1.21E-18	3.10E-17	"GO:0030528,GO:0006355"	phytochrome interacting factor 3-like 5	"helix-loop-helix DNA-binding domain containing protein, expressed"
bradi1g58240.1|pacid:21821220	1.203169648	1240.249694	0.116200747	10.35423334	4.00E-25	1.49E-23		Putative membrane lipoprotein	"cadmium-induced protein, putative, expressed"
bradi1g58380.2|pacid:21818010	-3.027613078	2624.836574	0.113753958	-26.61545255	4.50E-156	3.57E-153	GO:0016020	Early-responsive to dehydration stress protein (ERD4)	"ERD4 protein, putative, expressed"
bradi1g58430.1|pacid:21821978	2.125434872	235.4326989	0.178778617	11.88864142	1.36E-32	7.32E-31	"GO:0022857,GO:0055085,GO:0016021"	inositol transporter 2	"transporter family protein, putative, expressed"
bradi1g58450.1|pacid:21823227	1.422046317	16.44537665	0.299688049	4.745088509	2.08E-06	1.43E-05		"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2"	"TCP family transcription factor, putative, expressed"
bradi1g58580.1|pacid:21821828	-2.60229605	3.762996516	0.51265325	-5.076132946	3.85E-07	2.98E-06		nine-cis-epoxycarotenoid dioxygenase 9	"9-cis-epoxycarotenoid dioxygenase 1, chloroplast precursor, putative, expressed"
bradi1g58817.1|pacid:21823035	1.579660432	24.08557169	0.343462133	4.599227343	4.24E-06	2.75E-05	"GO:0003700,GO:0043565,GO:0006355"	overexpressor of cationic peroxidase 3	"homeobox domain containing protein, expressed"
bradi1g58940.1|pacid:21823376	-1.003111783	17.0883602	0.334336279	-3.000307914	0.002697068	0.00909005		NB-ARC domain-containing disease resistance protein	expressed protein
bradi1g59160.1|pacid:21815220	1.107171148	17.79012355	0.378020682	2.928863948	0.003402033	0.011123671	"GO:0004499,GO:0050660,GO:0050661,GO:0055114,GO:0009055,GO:0016491"	Flavin-binding monooxygenase family protein	"flavin-containing monooxygenase family protein, putative, expressed"
bradi1g59324.1|pacid:21815063	1.818853744	2.571809613	0.522789655	3.479131094	0.000503042	0.002086379			expressed protein
bradi1g59420.1|pacid:21822034	1.406368454	174.4266126	0.137271401	10.24516718	1.24E-24	4.53E-23	"GO:0022857,GO:0055085,GO:0016021"	Major facilitator superfamily protein	"transporter family protein, putative, expressed"
bradi1g59587.1|pacid:21816629	1.885028763	2.060864621	0.522136062	3.610225191	0.000305931	0.001334183	GO:0005515		"OsFBX101 - F-box domain containing protein, expressed"
bradi1g59600.1|pacid:21818066	1.273896849	13.61094491	0.305501134	4.16985964	3.05E-05	0.000167904	"GO:0004970,GO:0005234,GO:0016020,GO:0005215,GO:0006810,GO:0030288"	glutamate receptor 3.4	"glutamate receptor, putative, expressed"
bradi1g59630.1|pacid:21823490	1.290490805	11.97141267	0.422333554	3.055619887	0.002245958	0.007761006	GO:0003676	RNA-binding protein	"la domain containing protein, expressed"
bradi1g59680.1|pacid:21816645	1.639873454	6.906004267	0.416832389	3.934131551	8.35E-05	0.000419203	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 716, subfamily A, polypeptide 1"	"cytochrome P450 domain containing protein, expressed"
bradi1g59690.1|pacid:21814852	2.119203657	617.8016685	0.340514953	6.223525976	4.86E-10	5.74E-09	"GO:0016829,GO:0008152,GO:0000287,GO:0010333"	terpene synthase 10	"terpene synthase, putative, expressed"
